,caption,image_path,label
0,Photograph shows a family that was taken away by local epidemic prevention personnel after they had returned home from Hubei Province in February 2020 while they were asked to self-quarantine in their homes for 14 days.,images/true_0.jpg,true
1,Photograph shows Chinese officials in white protective hazmat suits carrying people down a hallway to be quarantined for having COVID-19 in November 2022.,images/true_0.jpg,miscaptioned
2,Photograph shows a family that was taken away by local epidemic prevention personnel after they had returned home from Hubei Province in February 2020 while they were asked to self-quarantine in their homes for 14 days.,images/false_0.jpg,out-of-context
3,Image shows electric scooters abandoned due to Mobike's downsizing its fleets to avoid an oversupply as the bike-sharing market falters.,images/true_1.jpg,true
4,"Image shows electric green scooters that have reached the end of their battery life. Due to the batteries being so expensive to replace, electric scooters are abandoned because disposing of them any other way is dangerous and expensive.",images/true_1.jpg,miscaptioned
5,Image shows electric scooters abandoned due to Mobike's downsizing its fleets to avoid an oversupply as the bike-sharing market falters.,images/false_1.jpg,out-of-context
6,Image shows unnamed runway model showcasing designs from Chinese designer and performance artist Sheguang Hu's collection during the Mercedes-Benz China Fashion Week.,images/true_2.jpg,true
7,Image shows Balenciaga stylist Lotta Volkova holding two baby dolls drenched in blood-colored red paint.,images/true_2.jpg,miscaptioned
8,Image shows unnamed runway model showcasing designs from Chinese designer and performance artist Sheguang Hu's collection during the Mercedes-Benz China Fashion Week.,images/false_2.jpg,out-of-context
9,A sketchfab 3D rendering of the actor Andre the Giant.,images/true_3.jpg,true
10,"3D model accurately depicting what Joseph, husband of Mary, the mother of Jesus Christ, looked like.",images/true_3.jpg,miscaptioned
11,A sketchfab 3D rendering of the actor Andre the Giant.,images/false_3.jpg,out-of-context